											
											
#		Español	Español LATAM	Japonés	Inglés	Francés	Alemán	Italiano	Coreano	Chino simplificado	Chino tradicional
1		Destructor	Destructor	はたく	Pound	Écras’Face	Klaps	Botta	막치기	拍击	拍擊
2		Golpe kárate	Golpe karate	からてチョップ	Karate Chop	Poing Karaté	Karateschlag	Colpokarate	태권당수	空手劈	空手劈
3		Doble bofetón	Doble bofetón	おうふくビンタ	Double Slap	Torgnoles	Duplexhieb	Doppiasberla	연속뺨치기	连环巴掌	連環巴掌
4		Puño cometa	Puño cometa	れんぞくパンチ	Comet Punch	Poing Comète	Kometenhieb	Cometapugno	연속펀치	连续拳	連續拳
5		Megapuño	Megapuño	メガトンパンチ	Mega Punch	Ultimapoing	Megahieb	Megapugno	메가톤펀치	百万吨重拳	百萬噸重拳
6		Día de pago	Día de pago	ネコにこばん	Pay Day	Jackpot	Zahltag	Giornopaga	고양이돈받기	聚宝功	聚寶功
7		Puño fuego	Puño fuego	ほのおのパンチ	Fire Punch	Poing Feu	Feuerschlag	Fuocopugno	불꽃펀치	火焰拳	火焰拳
8		Puño hielo	Puño hielo	れいとうパンチ	Ice Punch	Poing Glace	Eishieb	Gelopugno	냉동펀치	冰冻拳	冰凍拳
9		Puño trueno	Puño trueno	かみなりパンチ	Thunder Punch	Poing Éclair	Donnerschlag	Tuonopugno	번개펀치	雷电拳	雷電拳
10		Arañazo	Arañazo	ひっかく	Scratch	Griffe	Kratzer	Graffio	할퀴기	抓	抓
11		Agarre	Fuerza de garra	はさむ	Vise Grip	Force Poigne	Klammer	Presa	찝기	夹住	夾住
12		Guillotina	Guillotina	ハサミギロチン	Guillotine	Guillotine	Guillotine	Ghigliottina	가위자르기	极落钳	斷頭鉗
13		Viento cortante	Viento cortante	かまいたち	Razor Wind	Coupe-Vent	Klingensturm	Ventagliente	칼바람	旋风刀	旋風刀
14		Danza espada	Danza de espadas	つるぎのまい	Swords Dance	Danse Lames	Schwerttanz	Danzaspada	칼춤	剑舞	劍舞
15		Corte	Corte	いあいぎり	Cut	Coupe	Zerschneider	Taglio	풀베기	居合劈	居合斬
16		Tornado	Ráfaga de aire	かぜおこし	Gust	Tornade	Windstoß	Raffica	바람일으키기	起风	起風
17		Ataque ala	Ataque de ala	つばさでうつ	Wing Attack	Cru-Ailes	Flügelschlag	Attacco d’Ala	날개치기	翅膀攻击	翅膀攻擊
18		Remolino	Torbellino	ふきとばし	Whirlwind	Cyclone	Wirbelwind	Turbine	날려버리기	吹飞	吹飛
19		Vuelo	Vuelo	そらをとぶ	Fly	Vol	Fliegen	Volo	공중날기	飞翔	飛翔
20		Atadura	Atadura	しめつける	Bind	Étreinte	Klammergriff	Legatutto	조이기	绑紧	綁緊
21		Atizar	Golpazo	たたきつける	Slam	Souplesse	Slam	Schianto	힘껏치기	摔打	摔打
22		Látigo cepa	Látigo cepa	つるのムチ	Vine Whip	Fouet Lianes	Rankenhieb	Frustata	덩굴채찍	藤鞭	藤鞭
23		Pisotón	Pisotón	ふみつけ	Stomp	Écrasement	Stampfer	Pestone	짓밟기	踩踏	踩踏
24		Doble patada	Doble patada	にどげり	Double Kick	Double Pied	Doppelkick	Doppiocalcio	두번차기	二连踢	二連踢
25		Megapatada	Megapatada	メガトンキック	Mega Kick	Ultimawashi	Megakick	Megacalcio	메가톤킥	百万吨重踢	百萬噸重踢
